"Design UI","Create landing page mockups","todo","High","2026-03-01"
"Setup Database","Initialize Firestore collections","in-progress","Medium","2026-02-28"
"Implement Authentication","Add user registration and login","todo","High","2026-02-29"
"Add Project Management","Create project boards and tasks","todo","Medium","2026-03-01"     
"Implement Drag-and-Drop","Enable task reordering","todo","Medium","2026-03-02"
"Add Task Management","Create task boards and tasks","todo","Medium","2026-03-03"
"Implement Search Functionality","Add search functionality","todo","Medium","2026-03-04"
"Add User Profile","Create user profile","todo","Medium","2026-03-05"
"Implement Notifications","Add notifications","todo","Medium","2026-03-06"
"Add Analytics","Add analytics","todo","Medium","2026-03-07"
"Add Security","Add security","todo","Medium","2026-03-08"
"Add Mobile App","Add mobile app","todo","Medium","2026-03-09"  